observedRate,empirical p-value,theoretical p-value
0.11,0.327947,0.369441340181764
0.14,0.092455,0.0912112197258679
0.11,0.327637,0.369441340181764
0.13,0.147821,0.158655253931457
0.1,0.451465,0.5
0.12,0.225246,0.252492537546923
0.15,0.054882,0.0477903522728148
0.13,0.148095,0.158655253931457
0.1,0.450796,0.5
0.13,0.147501,0.158655253931457
0.09,0.587682,0.630558659818236
0.15,0.054861,0.0477903522728148
0.14,0.092193,0.0912112197258679
0.13,0.147977,0.158655253931457
0.14,0.092369,0.0912112197258679
0.09,0.587847,0.630558659818236
0.13,0.148145,0.158655253931457
0.09,0.587552,0.630558659818236
0.1,0.451666,0.5
0.11,0.328033,0.369441340181764
0.15,0.055181,0.0477903522728148
0.14,0.092392,0.0912112197258679
0.05,0.971934,0.952209647727185
0.14,0.092531,0.0912112197258679
0.1,0.451423,0.5
0.11,0.328003,0.369441340181764
0.09,0.586999,0.630558659818236
0.06,0.923042,0.908788780274132
0.09,0.587268,0.630558659818236
0.11,0.328068,0.369441340181764
0.21,0.001161,0.000122866389965171
0.11,0.327146,0.369441340181764
0.1,0.45127,0.5
0.12,0.225714,0.252492537546923
0.13,0.148449,0.158655253931457
0.09,0.587265,0.630558659818236
0.13,0.148111,0.158655253931457
0.14,0.092546,0.0912112197258679
0.08,0.721958,0.747507462453077
0.16,0.031659,0.0227501319481792
0.15,0.055133,0.0477903522728148
0.1,0.451548,0.5
0.08,0.721969,0.747507462453077
0.09,0.587996,0.630558659818236
0.11,0.328932,0.369441340181764
0.09,0.587674,0.630558659818236
0.07,0.837417,0.841344746068543
0.06,0.922899,0.908788780274132
0.21,0.00114,0.000122866389965171
0.11,0.327968,0.369441340181764
0.1,0.45218,0.5
0.09,0.587266,0.630558659818236
0.13,0.147219,0.158655253931457
0.11,0.328211,0.369441340181764
0.14,0.092446,0.0912112197258679
0.1,0.4518,0.5
0.1,0.450871,0.5
0.08,0.722237,0.747507462453077
0.11,0.327466,0.369441340181764
0.11,0.327565,0.369441340181764
0.1,0.451795,0.5
0.13,0.147625,0.158655253931457
0.13,0.148278,0.158655253931457
0.07,0.838083,0.841344746068543
0.11,0.327281,0.369441340181764
0.14,0.092303,0.0912112197258679
0.14,0.091818,0.0912112197258679
0.12,0.225221,0.252492537546923
0.12,0.226128,0.252492537546923
0.12,0.225493,0.252492537546923
0.1,0.451224,0.5
0.13,0.148178,0.158655253931457
0.07,0.837716,0.841344746068543
0.12,0.225467,0.252492537546923
0.16,0.031514,0.0227501319481792
0.14,0.092243,0.0912112197258679
0.13,0.147757,0.158655253931457
0.18,0.009256,0.00383038056758978
0.15,0.055305,0.0477903522728148
0.13,0.147755,0.158655253931457
0.12,0.225833,0.252492537546923
0.13,0.148142,0.158655253931457
0.1,0.450931,0.5
0.17,0.017225,0.00981532862864531
0.06,0.922575,0.908788780274132
0.05,0.97182,0.952209647727185
0.2,0.00232,0.000429060333196785
0.09,0.588266,0.630558659818236
0.1,0.451354,0.5
0.04,0.99304,0.977249868051821
0.1,0.451355,0.5
0.14,0.092036,0.0912112197258679
0.07,0.837781,0.841344746068543
0.09,0.587966,0.630558659818236
0.06,0.922279,0.908788780274132
0.07,0.837896,0.841344746068543
0.13,0.148101,0.158655253931457
0.17,0.017142,0.00981532862864531
0.13,0.148418,0.158655253931457
0.04,0.993177,0.977249868051821
0.09,0.588437,0.630558659818236
0.1,0.45115,0.5
0.07,0.83795,0.841344746068543
0.07,0.837786,0.841344746068543
0.08,0.721029,0.747507462453077
0.14,0.092045,0.0912112197258679
0.1,0.451474,0.5
0.1,0.451639,0.5
0.16,0.031653,0.0227501319481792
0.13,0.147226,0.158655253931457
0.09,0.587459,0.630558659818236
0.1,0.450598,0.5
0.13,0.148244,0.158655253931457
0.14,0.092328,0.0912112197258679
0.13,0.147825,0.158655253931457
0.1,0.45023,0.5
0.09,0.588085,0.630558659818236
0.09,0.587415,0.630558659818236
0.05,0.97183,0.952209647727185
0.11,0.328023,0.369441340181764
0.1,0.450659,0.5
0.13,0.147581,0.158655253931457
0.11,0.327663,0.369441340181764
0.12,0.225279,0.252492537546923
0.12,0.225743,0.252492537546923
0.09,0.587632,0.630558659818236
0.14,0.092203,0.0912112197258679
0.15,0.055036,0.0477903522728148
0.15,0.054923,0.0477903522728148
0.08,0.722285,0.747507462453077
0.12,0.225559,0.252492537546923
0.14,0.091806,0.0912112197258679
0.08,0.721606,0.747507462453077
0.11,0.327372,0.369441340181764
0.1,0.451399,0.5
0.05,0.972,0.952209647727185
0.11,0.328319,0.369441340181764
0.1,0.451624,0.5
0.12,0.225629,0.252492537546923
0.1,0.451292,0.5
0.12,0.225975,0.252492537546923
0.08,0.721796,0.747507462453077
0.12,0.22509,0.252492537546923
0.12,0.225683,0.252492537546923
0.08,0.721949,0.747507462453077
0.06,0.922285,0.908788780274132
0.13,0.148211,0.158655253931457
0.1,0.451784,0.5
0.1,0.451291,0.5
0.18,0.009284,0.00383038056758978
0.16,0.03159,0.0227501319481792
0.13,0.148099,0.158655253931457
0.12,0.22549,0.252492537546923
0.1,0.452091,0.5
0.08,0.722238,0.747507462453077
0.11,0.328189,0.369441340181764
0.06,0.922404,0.908788780274132
0.16,0.031321,0.0227501319481792
0.06,0.922576,0.908788780274132
0.16,0.03193,0.0227501319481792
0.14,0.092151,0.0912112197258679
0.1,0.451571,0.5
0.11,0.327545,0.369441340181764
0.1,0.45117,0.5
0.13,0.147532,0.158655253931457
0.12,0.225676,0.252492537546923
0.08,0.721784,0.747507462453077
0.12,0.225725,0.252492537546923
0.11,0.327731,0.369441340181764
0.15,0.055183,0.0477903522728148
0.05,0.972084,0.952209647727185
0.09,0.588741,0.630558659818236
0.08,0.721834,0.747507462453077
0.12,0.225411,0.252492537546923
0.17,0.017467,0.00981532862864531
0.09,0.588463,0.630558659818236
0.13,0.147796,0.158655253931457
0.07,0.8377,0.841344746068543
0.15,0.054834,0.0477903522728148
0.05,0.971618,0.952209647727185
0.07,0.838045,0.841344746068543
0.11,0.327236,0.369441340181764
0.09,0.587685,0.630558659818236
0.08,0.722233,0.747507462453077
0.08,0.721582,0.747507462453077
0.1,0.45168,0.5
0.1,0.451084,0.5
0.09,0.587285,0.630558659818236
0.1,0.450597,0.5
0.11,0.326922,0.369441340181764
0.13,0.147489,0.158655253931457
0.1,0.451298,0.5
0.12,0.225152,0.252492537546923
0.08,0.721696,0.747507462453077
0.15,0.055138,0.0477903522728148
0.14,0.091956,0.0912112197258679
0.1,0.451,0.5
0.12,0.225225,0.252492537546923
0.06,0.922437,0.908788780274132
0.1,0.451069,0.5
0.13,0.147883,0.158655253931457
0.11,0.328074,0.369441340181764
0.09,0.588312,0.630558659818236
0.06,0.922283,0.908788780274132
0.13,0.147802,0.158655253931457
0.11,0.328139,0.369441340181764
0.15,0.055372,0.0477903522728148
0.14,0.092457,0.0912112197258679
0.08,0.721741,0.747507462453077
0.12,0.225805,0.252492537546923
0.17,0.017337,0.00981532862864531
0.14,0.091767,0.0912112197258679
0.14,0.092262,0.0912112197258679
0.12,0.225358,0.252492537546923
0.11,0.327563,0.369441340181764
0.09,0.587624,0.630558659818236
0.05,0.971972,0.952209647727185
0.06,0.922404,0.908788780274132
0.13,0.148142,0.158655253931457
0.14,0.092055,0.0912112197258679
0.11,0.328035,0.369441340181764
0.1,0.450919,0.5
0.11,0.328152,0.369441340181764
0.07,0.837416,0.841344746068543
0.1,0.450378,0.5
0.1,0.451451,0.5
0.19,0.004703,0.0013498980316301
0.14,0.092027,0.0912112197258679
0.09,0.588056,0.630558659818236
0.11,0.328021,0.369441340181764
0.12,0.225234,0.252492537546923
0.09,0.587801,0.630558659818236
0.08,0.721787,0.747507462453077
0.11,0.328153,0.369441340181764
0.09,0.587948,0.630558659818236
0.08,0.722162,0.747507462453077
0.12,0.225603,0.252492537546923
0.05,0.971918,0.952209647727185
0.13,0.147519,0.158655253931457
0.14,0.09222,0.0912112197258679
0.17,0.01727,0.00981532862864531
0.11,0.327464,0.369441340181764
0.14,0.091987,0.0912112197258679
0.08,0.721401,0.747507462453077
0.1,0.450766,0.5
0.13,0.148328,0.158655253931457
0.13,0.148114,0.158655253931457
0.14,0.092092,0.0912112197258679
0.09,0.588683,0.630558659818236
0.07,0.838461,0.841344746068543
0.08,0.721579,0.747507462453077
0.11,0.327344,0.369441340181764
0.12,0.225255,0.252492537546923
0.12,0.226414,0.252492537546923
0.09,0.587595,0.630558659818236
0.14,0.091987,0.0912112197258679
0.12,0.22538,0.252492537546923
0.09,0.587751,0.630558659818236
0.09,0.587723,0.630558659818236
0.15,0.054833,0.0477903522728148
0.17,0.017221,0.00981532862864531
0.14,0.092673,0.0912112197258679
0.05,0.972042,0.952209647727185
0.15,0.054685,0.0477903522728148
0.09,0.587815,0.630558659818236
0.07,0.838043,0.841344746068543
0.13,0.147986,0.158655253931457
0.09,0.587117,0.630558659818236
0.11,0.327388,0.369441340181764
0.15,0.055133,0.0477903522728148
0.14,0.092537,0.0912112197258679
0.15,0.055357,0.0477903522728148
0.15,0.055132,0.0477903522728148
0.13,0.147538,0.158655253931457
0.15,0.055191,0.0477903522728148
0.18,0.009139,0.00383038056758978
0.03,0.999114,0.990184671371355
0.16,0.031465,0.0227501319481792
0.11,0.328395,0.369441340181764
0.06,0.922457,0.908788780274132
0.08,0.722024,0.747507462453077
0.1,0.450714,0.5
0.1,0.451471,0.5
0.05,0.97186,0.952209647727185
0.13,0.147784,0.158655253931457
0.09,0.587676,0.630558659818236
0.14,0.092713,0.0912112197258679
0.14,0.092196,0.0912112197258679
0.1,0.450708,0.5
0.15,0.054969,0.0477903522728148
0.15,0.055139,0.0477903522728148
0.1,0.45122,0.5
0.16,0.031776,0.0227501319481792
0.11,0.32752,0.369441340181764
0.09,0.588216,0.630558659818236
0.11,0.328329,0.369441340181764
0.09,0.587307,0.630558659818236
0.1,0.450698,0.5
0.13,0.14786,0.158655253931457
0.06,0.923077,0.908788780274132
0.1,0.45136,0.5
0.09,0.587305,0.630558659818236
0.11,0.32726,0.369441340181764
0.1,0.451313,0.5
0.12,0.225709,0.252492537546923
0.11,0.328089,0.369441340181764
0.13,0.147835,0.158655253931457
0.09,0.586263,0.630558659818236
0.12,0.225812,0.252492537546923
0.14,0.092309,0.0912112197258679
0.13,0.147899,0.158655253931457
0.12,0.225843,0.252492537546923
0.06,0.922352,0.908788780274132
0.09,0.587824,0.630558659818236
0.13,0.14743,0.158655253931457
0.07,0.838131,0.841344746068543
0.1,0.451162,0.5
0.11,0.327847,0.369441340181764
0.11,0.327929,0.369441340181764
0.17,0.017207,0.00981532862864531
0.07,0.837975,0.841344746068543
0.11,0.327605,0.369441340181764
0.07,0.83775,0.841344746068543
0.1,0.451225,0.5
0.1,0.45127,0.5
0.11,0.327774,0.369441340181764
0.11,0.32771,0.369441340181764
0.12,0.22543,0.252492537546923
0.15,0.054969,0.0477903522728148
0.14,0.092726,0.0912112197258679
0.12,0.225629,0.252492537546923
0.09,0.587025,0.630558659818236
0.11,0.32823,0.369441340181764
0.07,0.838163,0.841344746068543
0.13,0.147909,0.158655253931457
0.15,0.055246,0.0477903522728148
0.11,0.327694,0.369441340181764
0.14,0.092877,0.0912112197258679
0.12,0.225771,0.252492537546923
0.13,0.14801,0.158655253931457
0.1,0.451214,0.5
0.08,0.721153,0.747507462453077
0.12,0.225707,0.252492537546923
0.07,0.838175,0.841344746068543
0.16,0.031234,0.0227501319481792
0.07,0.837423,0.841344746068543
0.1,0.450986,0.5
0.12,0.225658,0.252492537546923
0.12,0.225879,0.252492537546923
0.06,0.923292,0.908788780274132
0.12,0.225763,0.252492537546923
0.14,0.091997,0.0912112197258679
0.15,0.055155,0.0477903522728148
0.11,0.328173,0.369441340181764
0.09,0.58811,0.630558659818236
0.13,0.147178,0.158655253931457
0.1,0.451663,0.5
0.12,0.225962,0.252492537546923
0.16,0.031422,0.0227501319481792
0.12,0.225893,0.252492537546923
0.11,0.327484,0.369441340181764
0.08,0.721465,0.747507462453077
0.11,0.328781,0.369441340181764
0.13,0.148065,0.158655253931457
0.06,0.922589,0.908788780274132
0.21,0.001149,0.000122866389965171
0.17,0.017405,0.00981532862864531
0.12,0.226166,0.252492537546923
0.12,0.226197,0.252492537546923
0.12,0.226149,0.252492537546923
0.14,0.092365,0.0912112197258679
0.15,0.055186,0.0477903522728148
0.11,0.329143,0.369441340181764
0.11,0.32836,0.369441340181764
0.15,0.054515,0.0477903522728148
0.14,0.092239,0.0912112197258679
0.1,0.451794,0.5
0.04,0.993236,0.977249868051821
0.06,0.922317,0.908788780274132
0.14,0.092596,0.0912112197258679
0.16,0.031681,0.0227501319481792
0.1,0.451941,0.5
0.08,0.721589,0.747507462453077
0.14,0.092356,0.0912112197258679
0.13,0.147868,0.158655253931457
0.07,0.838532,0.841344746068543
0.16,0.031693,0.0227501319481792
0.16,0.031217,0.0227501319481792
0.12,0.225318,0.252492537546923
0.14,0.091983,0.0912112197258679
0.07,0.838067,0.841344746068543
0.1,0.451473,0.5
0.11,0.32849,0.369441340181764
0.13,0.147596,0.158655253931457
0.05,0.972015,0.952209647727185
0.15,0.055455,0.0477903522728148
0.07,0.837482,0.841344746068543
0.13,0.148191,0.158655253931457
0.13,0.148075,0.158655253931457
0.11,0.327301,0.369441340181764
0.12,0.225542,0.252492537546923
0.12,0.225426,0.252492537546923
0.14,0.092557,0.0912112197258679
0.09,0.587191,0.630558659818236
0.16,0.031323,0.0227501319481792
0.1,0.450997,0.5
0.09,0.587705,0.630558659818236
0.13,0.147806,0.158655253931457
0.13,0.14747,0.158655253931457
0.13,0.147422,0.158655253931457
0.1,0.451666,0.5
0.06,0.92251,0.908788780274132
0.13,0.147993,0.158655253931457
0.14,0.092219,0.0912112197258679
0.12,0.225457,0.252492537546923
0.15,0.055207,0.0477903522728148
0.14,0.092685,0.0912112197258679
0.09,0.587534,0.630558659818236
0.11,0.32747,0.369441340181764
0.09,0.587726,0.630558659818236
0.08,0.721864,0.747507462453077
0.05,0.971797,0.952209647727185
0.1,0.451296,0.5
0.09,0.587139,0.630558659818236
0.09,0.587777,0.630558659818236
0.08,0.722318,0.747507462453077
0.08,0.721579,0.747507462453077
0.12,0.225912,0.252492537546923
0.12,0.226348,0.252492537546923
0.12,0.225568,0.252492537546923
0.13,0.147586,0.158655253931457
0.14,0.092369,0.0912112197258679
0.14,0.092076,0.0912112197258679
0.11,0.328351,0.369441340181764
0.11,0.327514,0.369441340181764
0.14,0.092238,0.0912112197258679
0.14,0.091881,0.0912112197258679
0.15,0.055207,0.0477903522728148
0.07,0.837643,0.841344746068543
0.13,0.147452,0.158655253931457
0.11,0.327512,0.369441340181764
0.11,0.326964,0.369441340181764
0.09,0.587777,0.630558659818236
0.1,0.450601,0.5
0.09,0.588466,0.630558659818236
0.06,0.922002,0.908788780274132
0.12,0.225438,0.252492537546923
0.1,0.451228,0.5
0.12,0.225875,0.252492537546923
0.1,0.451499,0.5
0.07,0.837772,0.841344746068543
0.14,0.091969,0.0912112197258679
0.13,0.14802,0.158655253931457
0.15,0.054992,0.0477903522728148
0.08,0.722079,0.747507462453077
0.1,0.450129,0.5
0.14,0.091859,0.0912112197258679
0.1,0.451049,0.5
0.16,0.031671,0.0227501319481792
0.16,0.031543,0.0227501319481792
0.03,0.999106,0.990184671371355
0.07,0.837737,0.841344746068543
0.06,0.922913,0.908788780274132
0.1,0.450962,0.5
0.07,0.837825,0.841344746068543
0.13,0.14749,0.158655253931457
0.12,0.224962,0.252492537546923
0.12,0.226116,0.252492537546923
0.09,0.587393,0.630558659818236
0.16,0.031768,0.0227501319481792
0.09,0.588857,0.630558659818236
0.1,0.451234,0.5
0.08,0.722364,0.747507462453077
0.15,0.055581,0.0477903522728148
0.11,0.327608,0.369441340181764
0.2,0.002389,0.000429060333196785
0.19,0.004683,0.0013498980316301
0.12,0.225873,0.252492537546923
0.08,0.72203,0.747507462453077
0.11,0.327393,0.369441340181764
0.17,0.01745,0.00981532862864531
0.1,0.450928,0.5
0.08,0.722006,0.747507462453077
0.07,0.837593,0.841344746068543
0.12,0.225816,0.252492537546923
0.1,0.451306,0.5
0.07,0.838731,0.841344746068543
0.08,0.721917,0.747507462453077
0.13,0.147545,0.158655253931457
0.1,0.450236,0.5
0.12,0.226054,0.252492537546923
0.13,0.147333,0.158655253931457
